protocol,prefix,ISP
ipv4,203.138.180.0/24,docomo
ipv4,203.138.181.0/24,docomo
ipv4,203.138.203.0/24,docomo
ipv4,1.66.96.0/21,docomo
ipv4,1.66.104.0/23,docomo
ipv4,1.72.0.0/21,docomo
ipv4,1.72.8.0/23,docomo
ipv4,1.72.10.0/24,docomo
ipv4,1.75.0.0/21,docomo
ipv4,1.75.8.0/22,docomo
ipv4,1.75.12.0/23,docomo
ipv4,1.75.14.0/24,docomo
ipv4,1.75.16.0/20,docomo
ipv4,1.75.152.0/21,docomo
ipv4,1.75.196.0/22,docomo
ipv4,1.75.202.0/23,docomo
ipv4,1.75.204.0/22,docomo
ipv4,1.75.208.0/21,docomo
ipv4,1.75.216.0/21,docomo
ipv4,1.75.224.0/19,docomo
ipv4,1.78.0.0/19,docomo
ipv4,1.78.32.0/21,docomo
ipv4,1.78.40.0/22,docomo
ipv4,1.78.64.0/19,docomo
ipv4,1.78.96.0/22,docomo
ipv4,1.79.6.0/23,docomo
ipv4,1.79.8.0/21,docomo
ipv4,1.79.16.0/21,docomo
ipv4,1.79.24.0/22,docomo
ipv4,1.79.28.0/23,docomo
ipv4,1.79.32.0/21,docomo
ipv4,1.79.66.0/23,docomo
ipv4,1.79.68.0/22,docomo
ipv4,1.79.72.0/21,docomo
ipv4,1.79.80.0/20,docomo
ipv4,1.79.96.0/21,docomo
ipv4,1.79.176.0/21,docomo
ipv4,49.96.0.0/18,docomo
ipv4,49.96.216.0/21,docomo
ipv4,49.96.224.0/21,docomo
ipv4,49.96.242.0/23,docomo
ipv4,49.96.244.0/23,docomo
ipv4,49.97.1.0/24,docomo
ipv4,49.97.2.0/23,docomo
ipv4,49.97.4.0/24,docomo
ipv4,49.97.16.0/22,docomo
ipv4,49.97.31.0/24,docomo
ipv4,49.97.32.0/23,docomo
ipv4,49.97.34.0/24,docomo
ipv4,49.97.39.0/24,docomo
ipv4,49.97.40.0/23,docomo
ipv4,49.97.42.0/24,docomo
ipv4,49.97.47.0/24,docomo
ipv4,49.97.48.0/23,docomo
ipv4,49.97.50.0/24,docomo
ipv4,49.97.55.0/24,docomo
ipv4,49.97.56.0/21,docomo
ipv4,49.97.64.0/20,docomo
ipv4,49.97.88.0/22,docomo
ipv4,49.97.92.0/22,docomo
ipv4,49.97.96.0/19,docomo
ipv4,49.98.7.0/24,docomo
ipv4,49.98.8.0/21,docomo
ipv4,49.98.16.0/23,docomo
ipv4,49.98.32.0/19,docomo
ipv4,49.98.64.0/18,docomo
ipv4,49.98.128.0/17,docomo
ipv4,49.104.0.0/18,docomo
ipv4,49.104.64.0/20,docomo
ipv4,49.104.80.0/21,docomo
ipv4,49.106.200.0/21,docomo
ipv4,49.106.208.0/20,docomo
ipv4,49.106.224.0/22,docomo
ipv4,49.106.228.0/23,docomo
ipv4,110.163.6.0/23,docomo
ipv4,110.163.8.0/22,docomo
ipv4,110.163.12.0/23,docomo
ipv4,110.163.216.0/21,docomo
ipv4,110.163.224.0/22,docomo
ipv4,183.74.0.0/21,docomo
ipv4,183.74.8.0/23,docomo
ipv4,183.74.192.0/20,docomo
ipv4,49.96.232.0/21,docomo
ipv4,49.97.0.0/24,docomo
ipv4,49.97.5.0/24,docomo
ipv4,49.97.6.0/23,docomo
ipv4,49.97.8.0/21,docomo
ipv4,49.97.20.0/22,docomo
ipv4,49.97.24.0/22,docomo
ipv4,49.97.28.0/23,docomo
ipv4,49.97.30.0/24,docomo
ipv4,49.97.35.0/24,docomo
ipv4,49.97.36.0/23,docomo
ipv4,49.97.38.0/24,docomo
ipv4,49.97.43.0/24,docomo
ipv4,49.97.44.0/23,docomo
ipv4,49.97.46.0/24,docomo
ipv4,49.97.51.0/24,docomo
ipv4,49.98.0.0/22,docomo
ipv4,49.98.4.0/23,docomo
ipv4,49.98.6.0/24,docomo
ipv4,49.98.18.0/24,docomo
ipv4,49.106.80.0/21,docomo
ipv4,49.106.104.0/21,docomo
ipv4,49.106.112.0/20,docomo
ipv4,49.106.128.0/22,docomo
ipv4,103.124.0.0/22,Rakuten
ipv4,133.106.128.0/17,Rakuten
ipv4,133.106.16.0/20,Rakuten
ipv4,133.106.32.0/19,Rakuten
